No,学校名,住所,措置名称,開始日,終了日,学年等
1,札幌市立篠路中学校,札幌市北区篠路町篠路368番地,学級閉鎖,2017/11/22(水),2017/11/24(金),1年2組32
2,札幌市立平岡中学校,札幌市清田区平岡2条5丁目4番10号,学級閉鎖,2017/11/22(水),2017/11/24(金),2年5組35
3,札幌市立澄川南小学校,札幌市南区澄川5条13丁目7-1,学級閉鎖,2017/11/25(土),2017/11/27(月),1年2組31
4,札幌市立発寒小学校,札幌市西区発寒10条4丁目1番62号,学級閉鎖,2017/11/25(土),2017/11/27(月),3年2組39
5,札幌市立平岸小学校,札幌市豊平区平岸2条14丁目1-28,学級閉鎖,2017/11/28(火),2017/11/30(木),5年3組31
6,札幌市立三里塚小学校,北海道札幌市清田区里塚二条六丁目七番一号,学級閉鎖,2017/11/28(火),2017/11/30(木),1年1組32
7,札幌市立澄川西小学校,北海道札幌市南区澄川2条5丁目7番2号,学年閉鎖,2017/11/28(火),2017/11/30(木),3年31
8,札幌市立澄川西小学校,北海道札幌市南区澄川2条5丁目7番2号,学級閉鎖,2017/11/28(火),2017/11/30(木),1年2組24
9,札幌市立澄川西小学校,北海道札幌市南区澄川2条5丁目7番2号,学級閉鎖,2017/11/28(火),2017/11/30(木),4年1組21
10,札幌市立発寒小学校,札幌市西区発寒10条4丁目1番62号,学級閉鎖,2017/11/28(火),2017/11/30(木),6年1組30
11,札幌市立平岡中学校,札幌市清田区平岡2条5丁目4番10号,学級閉鎖,2017/11/29(水),2017/12/01(金),1年1組34
12,札幌市立西陵中学校,北海道札幌市西区発寒15条2丁目5-1,学級閉鎖,2017/11/29(水),2017/12/01(金),1年2組32
13,札幌市立平岸中学校,札幌市豊平区平岸1条21丁目3番1号,学級閉鎖,2017/11/30(木),2017/12/02(土),1年2組29
14,札幌市立西陵中学校,北海道札幌市西区発寒15条2丁目5-1,学級閉鎖,2017/11/30(木),2017/12/02(土),2年2組36
15,札幌市立西陵中学校,北海道札幌市西区発寒15条2丁目5-1,学級閉鎖,2017/11/30(木),2017/12/02(土),1年4組32
16,札幌市立元町北小学校,北海道札幌市東区北31条東14丁目1番1号,学級閉鎖,2017/11/29(水),2017/12/03(日),5年3組40
17,札幌市立三里塚小学校,北海道札幌市清田区里塚二条六丁目七番一号,学級閉鎖,2017/12/01(金),2017/12/03(日),2年3組25
18,札幌市立西陵中学校,北海道札幌市西区発寒15条2丁目5-1,学級閉鎖,2017/12/01(金),2017/12/04(月),2年1組37
19,札幌市立三里塚小学校,北海道札幌市清田区里塚二条六丁目七番一号,学級閉鎖,2017/12/02(土),2017/12/05(火),2年1組25
20,札幌市立三里塚小学校,北海道札幌市清田区里塚二条六丁目七番一号,学級閉鎖,2017/12/02(土),2017/12/05(火),3年2組28
